filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_42_ch_53_strand.fast5	dd70128f-065e-4290-819b-c7d5810e38ea	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	53	4	87.533201	6.597942	1656	TRUE	90.623174	880	3.507968	221	8.958392	0.000000	114.766624	13.279938
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_61_ch_239_strand.fast5	7e14c4cc-0a20-4f22-90bf-cd0595808d53	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	239	1	119.149734	8.425631	2114	FALSE	119.149734	2114	8.425631	264	4.203876	0.000000	90.722946	8.666907
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_70_ch_342_strand.fast5	2d3462ca-34dc-4339-9985-7608b32de612	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	342	1	155.900730	10.590637	2658	TRUE	159.100266	1855	7.391102	488	9.994469	0.000000	119.938812	13.279938
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_30_ch_93_strand.fast5	43bc8b70-ec81-44c4-a0df-b3e5bbbde4da	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	93	3	49.141434	3.322045	833	FALSE	51.949203	129	0.514276	3	3.363895	0.000000	129.025085	1.817255
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_16_ch_34_strand.fast5	f83aa697-89f1-4f69-8e77-cb76c107c3c9	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	34	1	40.497344	15.395086	3864	TRUE	42.193559	3438	13.698871	1028	8.947277	0.000000	102.744781	12.720782
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_105_ch_364_strand.fast5	377d1cd5-2141-457d-a6f0-7c81fe52ed98	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	364	1	215.148406	4.158699	1043	FALSE	215.148406	1043	4.158699	134	3.809427	0.000000	125.390572	8.107752
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_57_ch_271_strand.fast5	ff708ae2-a458-47fe-b4b3-6d1034f11202	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	271	3	64.870518	12.372842	3105	TRUE	67.587317	2423	9.656042	601	9.541871	0.000000	116.304298	15.097193
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_42_ch_442_strand.fast5	a20f5170-ab18-43f3-81ca-a9e3b7d8d50e	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	442	1	76.837981	6.458167	1621	TRUE	80.003984	826	3.292165	235	10.176174	0.000000	114.626831	16.495081
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_14_ch_421_strand.fast5	c8aceca6-0de9-4806-8c73-18047acf292d	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	421	1	20.081341	3.565737	895	TRUE	22.085657	391	1.561421	120	8.391611	0.000000	107.777184	15.376770
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_36_ch_509_strand.fast5	e5a24a1b-d98a-4082-a660-e216d8d74ab4	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	509	1	60.587981	16.752324	4204	TRUE	63.359230	3509	13.981076	1061	8.954098	0.000000	112.949371	13.978882
knope_20170928_FAH27864_MN20358_sequencing_run_170928_jhuna12878rna1_16188_read_72_ch_425_strand.fast5	fc9ab42d-0e11-44d2-a5d1-3359b8bc2dc4	62f43a8034d5d4b5f21b4f203d9bb8843b805ea9	0	425	2	146.203187	3.255644	817	FALSE	149.045485	103	0.413347	1	2.814281	0.000000	124.971207	1.677466
